OBJECT_ID,Population
1,4858979.00
4,6828065.00
5,2978204.00
6,39144818.00
8,5456574.00
9,3590886.00
10,945934.00
12,20271272.00
13,10214860.00
16,1654930.00
17,12859995.00
18,6619680.00
19,3123899.00
20,2911641.00
21,4425092.00
22,4670724.00
23,1329328.00
11,672228.00
24,6006401.00
25,6794422.00
26,9922576.00
27,5489594.00
28,2992333.00
29,6083672.00
30,1032949.00
31,1896190.00
32,2890845.00
33,1330608.00
34,8958013.00
35,2085109.00
36,19795791.00
37,10042802.00
38,756927.00
39,11613423.00
40,3911338.00
41,4028977.00
42,12802503.00
44,1056298.00
45,4896146.00
46,858469.00
47,6600299.00
48,27469114.00
49,2995919.00
50,626042.00
51,8382993.00
53,7170351.00
54,1844128.00
55,5771337.00
56,586107.00
,
,
,
,
,
,